Level,ID,Extended_ID,Title,ShortTitle
4,C1420,C 14.20,Manufacture of articles of fur,
4,C1431,C 14.31,Manufacture of knitted and crocheted hosiery,
4,C1439,C 14.39,Manufacture of other knitted and crocheted apparel,
4,C1511,C 15.11,"Tanning and dressing of leather, dressing and dyeing of fur",
4,C1512,C 15.12,"Manufacture of luggage, handbags and the like, saddlery and harness",
4,C1520,C 15.20,Manufacture of footwear,
4,C1610,C 16.10,Sawmilling and planing of wood,
4,C1621,C 16.21,Manufacture of veneer sheets and wood-based panels,
4,C1622,C 16.22,Manufacture of assembled parquet floors,
4,C1623,C 16.23,Manufacture of other builders' carpentry and joinery,
4,C1624,C 16.24,Manufacture of wooden containers,
4,C1629,C 16.29,"Manufacture of other products of wood, manufacture of articles of cork, straw and plaiting materials",
4,C1711,C 17.11,Manufacture of pulp,
4,C1712,C 17.12,Manufacture of paper and paperboard,
4,C1721,C 17.21,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,
4,C1722,C 17.22,Manufacture of household and sanitary goods and of toilet requisites,
4,C1723,C 17.23,Manufacture of paper stationery,
4,C1724,C 17.24,Manufacture of wallpaper,
4,C1729,C 17.29,Manufacture of other articles of paper and paperboard,
4,C1811,C 18.11,Printing of newspapers,
4,C1812,C 18.12,Other printing,
4,C1813,C 18.13,Pre-press and pre-media services,
4,C1814,C 18.14,Binding and related services,
4,C1820,C 18.20,Reproduction of recorded media,
4,C1910,C 19.10,Manufacture of coke oven products,
4,C1920,C 19.20,Manufacture of refined petroleum products,
4,C2011,C 20.11,Manufacture of industrial gases,
4,C2012,C 20.12,Manufacture of dyes and pigments,
4,C2013,C 20.13,Manufacture of other inorganic basic chemicals,
4,C2014,C 20.14,Manufacture of other organic basic chemicals,
4,C2015,C 20.15,Manufacture of fertilisers and nitrogen compounds,
4,C2016,C 20.16,Manufacture of plastics in primary forms,
4,C2017,C 20.17,Manufacture of synthetic rubber in primary forms,
4,C2020,C 20.20,Manufacture of pesticides and other agrochemical products,
4,C2030,C 20.30,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",
4,C2041,C 20.41,"Manufacture of soap and detergents, cleaning and polishing preparations",
4,C2042,C 20.42,Manufacture of perfumes and toilet preparations,
4,C2051,C 20.51,Manufacture of explosives,
4,C2052,C 20.52,Manufacture of glues,
4,C2053,C 20.53,Manufacture of essential oils,
4,C2059,C 20.59,Manufacture of other chemical products n.e.c.,
4,C2060,C 20.60,Manufacture of man-made fibres,
4,C2110,C 21.10,Manufacture of basic pharmaceutical products,
4,C2120,C 21.20,Manufacture of pharmaceutical preparations,
4,C2211,C 22.11,"Manufacture of rubber tyres and tubes, retreading and rebuilding of rubber tyres",
4,C2219,C 22.19,Manufacture of other rubber products,
4,C2221,C 22.21,"Manufacture of plastic plates, sheets, tubes and profiles",
4,C2222,C 22.22,Manufacture of plastic packing goods,
4,C2223,C 22.23,Manufacture of builders? ware of plastic,
4,C2229,C 22.29,Manufacture of other plastic products,
4,C2311,C 23.11,Manufacture of flat glass,
4,C2312,C 23.12,Shaping and processing of flat glass,
4,C2313,C 23.13,Manufacture of hollow glass,
4,C2314,C 23.14,Manufacture of glass fibres,
4,C2319,C 23.19,"Manufacture and processing of other glass, including technical glassware",
4,C2320,C 23.20,Manufacture of refractory products,
4,C2331,C 23.31,Manufacture of ceramic tiles and flags,
4,C2332,C 23.32,"Manufacture of bricks, tiles and construction products, in baked clay",
4,C2341,C 23.41,Manufacture of ceramic household and ornamental articles,
4,C2342,C 23.42,Manufacture of ceramic sanitary fixtures,
4,C2343,C 23.43,Manufacture of ceramic insulators and insulating fittings,
4,C2344,C 23.44,Manufacture of other technical ceramic products,
4,C2349,C 23.49,Manufacture of other ceramic products,
4,C2351,C 23.51,Manufacture of cement,
4,C2352,C 23.52,Manufacture of lime and plaster,
4,C2361,C 23.61,Manufacture of concrete products for construction purposes,
4,C2362,C 23.62,Manufacture of plaster products for construction purposes,
4,C2363,C 23.63,Manufacture of ready-mixed concrete,
4,C2364,C 23.64,Manufacture of mortars,
4,C2365,C 23.65,Manufacture of fibre cement,
4,C2369,C 23.69,"Manufacture of other articles of concrete, plaster and cement",
4,C2370,C 23.70,"Cutting, shaping and finishing of stone",
4,C2391,C 23.91,Production of abrasive products,
4,C2399,C 23.99,Manufacture of other non-metallic mineral products n.e.c.,
4,C2410,C 24.10,Manufacture of basic iron and steel and of ferro-alloys,
4,C2420,C 24.20,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel",
4,C2431,C 24.31,Cold drawing of bars,
4,C2432,C 24.32,Cold rolling of narrow strip,
4,C2433,C 24.33,Cold forming or folding,
4,C2434,C 24.34,Cold drawing of wire,
4,C2441,C 24.41,Precious metals production,
4,C2442,C 24.42,Aluminium production,
4,C2443,C 24.43,"Lead, zinc and tin production",
4,C2444,C 24.44,Copper production,
4,C2445,C 24.45,Other non-ferrous metal production,
4,C2446,C 24.46,Processing of nuclear fuel,
4,C2451,C 24.51,Casting of iron,
4,C2452,C 24.52,Casting of steel,
4,C2453,C 24.53,Casting of light metals,
4,C2454,C 24.54,Casting of other non-ferrous metals,
4,C2511,C 25.11,Manufacture of metal structures and parts of structures,
4,C2512,C 25.12,Manufacture of doors and windows of metal,
4,C2521,C 25.21,Manufacture of central heating radiators and boilers,
4,C2529,C 25.29,"Manufacture of other tanks, reservoirs and containers of metal",
4,C2530,C 25.30,"Manufacture of steam generators, except central heating hot water boilers",
4,C2540,C 25.40,Manufacture of weapons and ammunition,
4,C2550,C 25.50,"Forging, pressing, stamping and roll-forming of metal, powder metallurgy",
4,C2561,C 25.61,Treatment and coating of metals,
4,C2562,C 25.62,Machining,
4,C2571,C 25.71,Manufacture of cutlery,
4,C2572,C 25.72,Manufacture of locks and hinges,
4,C2573,C 25.73,Manufacture of tools,
4,C2591,C 25.91,Manufacture of steel drums and similar containers,
4,C2592,C 25.92,Manufacture of light metal packaging,
4,C2593,C 25.93,"Manufacture of wire products, chain and springs",
4,C2594,C 25.94,Manufacture of fasteners and screw machine products,
4,C2599,C 25.99,Manufacture of other fabricated metal products n.e.c.,
4,C2611,C 26.11,Manufacture of electronic components,
4,C2612,C 26.12,Manufacture of loaded electronic boards,
4,C2620,C 26.20,Manufacture of computers and peripheral equipment,
4,C2630,C 26.30,Manufacture of communication equipment,
4,C2640,C 26.40,Manufacture of consumer electronics,
4,C2651,C 26.51,"Manufacture of instruments and appliances for measuring, testing and navigation",
4,C2652,C 26.52,Manufacture of watches and clocks,
4,C2660,C 26.60,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",
4,C2670,C 26.70,Manufacture of optical instruments and photographic equipment,
4,C2680,C 26.80,Manufacture of magnetic and optical media,
4,C2711,C 27.11,"Manufacture of electric motors, generators and transformers",
4,C2712,C 27.12,Manufacture of electricity distribution and control apparatus,
4,C2720,C 27.20,Manufacture of batteries and accumulators,
4,C2731,C 27.31,Manufacture of fibre optic cables,
4,C2732,C 27.32,Manufacture of other electronic and electric wires and cables,
4,C2733,C 27.33,Manufacture of wiring devices,
4,C2740,C 27.40,Manufacture of electric lighting equipment,
4,C2751,C 27.51,Manufacture of electric domestic appliances,
4,C2752,C 27.52,Manufacture of non-electric domestic appliances,
4,C2790,C 27.90,Manufacture of other electrical equipment,
4,C2811,C 28.11,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",
4,C2812,C 28.12,Manufacture of fluid power equipment,
4,C2813,C 28.13,Manufacture of other pumps and compressors,
4,C2814,C 28.14,Manufacture of other taps and valves,
4,C2815,C 28.15,"Manufacture of bearings, gears, gearing and driving elements",
4,C2821,C 28.21,"Manufacture of ovens, furnaces and furnace burners",
4,C2822,C 28.22,Manufacture of lifting and handling equipment,
4,C2823,C 28.23,Manufacture of office machinery and equipment (except computers and peripheral equipment),
4,C2824,C 28.24,Manufacture of power-driven hand tools,
4,C2825,C 28.25,Manufacture of non-domestic cooling and ventilation equipment,
4,C2829,C 28.29,Manufacture of other general-purpose machinery n.e.c.,
4,C2830,C 28.30,Manufacture of agricultural and forestry machinery,
4,C2841,C 28.41,Manufacture of metal forming machinery,
4,C2849,C 28.49,Manufacture of other machine tools,
4,C2891,C 28.91,Manufacture of machinery for metallurgy,
4,C2892,C 28.92,"Manufacture of machinery for mining, quarrying and construction",
4,C2893,C 28.93,"Manufacture of machinery for food, beverage and tobacco processing",
4,C2894,C 28.94,"Manufacture of machinery for textile, apparel and leather production",
4,C2895,C 28.95,Manufacture of machinery for paper and paperboard production,
4,C2896,C 28.96,Manufacture of plastics and rubber machinery,
4,C2899,C 28.99,Manufacture of other special-purpose machinery n.e.c.,
4,C2910,C 29.10,Manufacture of motor vehicles,
4,C2920,C 29.20,"Manufacture of bodies (coachwork) for motor vehicles, manufacture of trailers and semi-trailers",
4,C2931,C 29.31,Manufacture of electrical and electronic equipment for motor vehicles,
4,C2932,C 29.32,Manufacture of other parts and accessories for motor vehicles,
4,C3011,C 30.11,Building of ships and floating structures,
4,C3012,C 30.12,Building of pleasure and sporting boats,
4,C3020,C 30.20,Manufacture of railway locomotives and rolling stock,
4,C3030,C 30.30,Manufacture of air and spacecraft and related machinery,
4,C3040,C 30.40,Manufacture of military fighting vehicles,
4,C3091,C 30.91,Manufacture of motorcycles,
4,C3092,C 30.92,Manufacture of bicycles and invalid carriages,
4,C3099,C 30.99,Manufacture of other transport equipment n.e.c.,
4,C3101,C 31.01,Manufacture of office and shop furniture,
4,C3102,C 31.02,Manufacture of kitchen furniture,
4,C3103,C 31.03,Manufacture of mattresses,
4,C3109,C 31.09,Manufacture of other furniture,
4,C3211,C 32.11,Striking of coins,
4,C3212,C 32.12,Manufacture of jewellery and related articles,
4,C3213,C 32.13,Manufacture of imitation jewellery and related articles,
4,C3220,C 32.20,Manufacture of musical instruments,
4,C3230,C 32.30,Manufacture of sports goods,
4,C3240,C 32.40,Manufacture of games and toys,
4,C3250,C 32.50,Manufacture of medical and dental instruments and supplies,
4,C3291,C 32.91,Manufacture of brooms and brushes,
4,C3299,C 32.99,Other manufacturing n.e.c.,
4,C3311,C 33.11,Repair of fabricated metal products,
4,C3312,C 33.12,Repair of machinery,
4,C3313,C 33.13,Repair of electronic and optical equipment,
4,C3314,C 33.14,Repair of electrical equipment,
4,C3315,C 33.15,Repair and maintenance of ships and boats,
4,C3316,C 33.16,Repair and maintenance of aircraft and spacecraft,
4,C3317,C 33.17,Repair and maintenance of other transport equipment,
4,C3319,C 33.19,Repair of other equipment,
4,C3320,C 33.20,Installation of industrial machinery and equipment,
4,D3511,D 35.11,Production of electricity,
4,D3512,D 35.12,Transmission of electricity,
4,D3513,D 35.13,Distribution of electricity,
4,D3514,D 35.14,Trade of electricity,
4,D3521,D 35.21,Manufacture of gas,
4,D3522,D 35.22,Distribution of gaseous fuels through mains,
4,D3523,D 35.23,Trade of gas through mains,
4,D3530,D 35.30,Steam and air conditioning supply,
4,E3600,E 36.00,"Water collection, treatment and supply",
4,E3700,E 37.00,Sewerage,
4,E3811,E 38.11,Collection of non-hazardous waste,
4,E3812,E 38.12,Collection of hazardous waste,
4,E3821,E 38.21,Treatment and disposal of non-hazardous waste,
4,E3822,E 38.22,Treatment and disposal of hazardous waste,
4,E3831,E 38.31,Dismantling of wrecks,
4,E3832,E 38.32,Recovery of sorted materials,
4,E3900,E 39.00,Remediation activities and other waste management services,
4,F4110,F 41.10,Development of building projects,
4,F4120,F 41.20,Construction of residential and non-residential buildings,
4,F4211,F 42.11,Construction of roads and motorways,
4,F4212,F 42.12,Construction of railways and underground railways,
4,F4213,F 42.13,Construction of bridges and tunnels,
4,F4221,F 42.21,Construction of utility projects for fluids,
4,F4222,F 42.22,Construction of utility projects for electricity and telecommunications,
4,F4291,F 42.91,Construction of water projects,
4,F4299,F 42.99,Construction of other civil engineering projects n.e.c.,
4,F4311,F 43.11,Demolition,
4,F4312,F 43.12,Site preparation,
4,F4313,F 43.13,Test drilling and boring,
4,F4321,F 43.21,Electrical installation,
4,F4322,F 43.22,"Plumbing, heat and air-conditioning installation",
4,F4329,F 43.29,Other construction installation,
4,F4331,F 43.31,Plastering,
4,F4332,F 43.32,Joinery installation,
4,F4333,F 43.33,Floor and wall covering,
4,F4334,F 43.34,Painting and glazing,
4,F4339,F 43.39,Other building completion and finishing,
4,F4391,F 43.91,Roofing activities,
4,F4399,F 43.99,Other specialised construction activities n.e.c.,
4,G4511,G 45.11,Sale of cars and light motor vehicles,
4,G4519,G 45.19,Sale of other motor vehicles,
4,G4520,G 45.20,Maintenance and repair of motor vehicles,
4,G4531,G 45.31,Wholesale trade of motor vehicle parts and accessories,
4,G4532,G 45.32,Retail trade of motor vehicle parts and accessories,
4,G4540,G 45.40,"Sale, maintenance and repair of motorcycles and related parts and accessories",
4,G4611,G 46.11,"Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semifinished goods",
4,G4612,G 46.12,"Agents involved in the sale of fuels, ores, metals and industrial chemicals",
4,G4613,G 46.13,Agents involved in the sale of timber and building materials,
4,G4614,G 46.14,"Agents involved in the sale of machinery, industrial equipment, ships and aircraft",
4,G4615,G 46.15,"Agents involved in the sale of furniture, household goods, hardware and ironmongery",
4,G4616,G 46.16,"Agents involved in the sale of textiles, clothing, fur, footwear and leather goods",
4,G4617,G 46.17,"Agents involved in the sale of food, beverages and tobacco",
4,G4618,G 46.18,Agents specialised in the sale of other particular products,
4,G4619,G 46.19,Agents involved in the sale of a variety of goods,
4,G4621,G 46.21,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds",
4,G4622,G 46.22,Wholesale of flowers and plants,
4,G4623,G 46.23,Wholesale of live animals,
4,G4624,G 46.24,"Wholesale of hides, skins and leather",
4,G4631,G 46.31,Wholesale of fruit and vegetables,
4,G4632,G 46.32,Wholesale of meat and meat products,
4,G4633,G 46.33,"Wholesale of dairy products, eggs and edible oils and fats",
4,G4634,G 46.34,Wholesale of beverages,
4,G4635,G 46.35,Wholesale of tobacco products,
4,G4636,G 46.36,Wholesale of sugar and chocolate and sugar confectionery,
4,G4637,G 46.37,"Wholesale of coffee, tea, cocoa and spices",
4,G4638,G 46.38,"Wholesale of other food, including fish, crustaceans and molluscs",
4,G4639,G 46.39,"Non-specialised wholesale of food, beverages and tobacco",
4,G4641,G 46.41,Wholesale of textiles,
4,G4642,G 46.42,Wholesale of clothing and footwear,
4,G4643,G 46.43,Wholesale of electrical household appliances,
4,G4644,G 46.44,Wholesale of china and glassware and cleaning materials,
4,G4645,G 46.45,Wholesale of perfume and cosmetics,
4,G4646,G 46.46,Wholesale of pharmaceutical goods,
4,G4647,G 46.47,"Wholesale of furniture, carpets and lighting equipment",
4,G4648,G 46.48,Wholesale of watches and jewellery,
4,G4649,G 46.49,Wholesale of other household goods,
4,G4651,G 46.51,"Wholesale of computers, computer peripheral equipment and software",
4,G4652,G 46.52,Wholesale of electronic and telecommunications equipment and parts,
4,G4661,G 46.61,"Wholesale of agricultural machinery, equipment and supplies",
4,G4662,G 46.62,Wholesale of machine tools,
4,G4663,G 46.63,"Wholesale of mining, construction and civil engineering machinery",
4,G4664,G 46.64,Wholesale of machinery for the textile industry and of sewing and knitting machines,
4,G4665,G 46.65,Wholesale of office furniture,
4,G4666,G 46.66,Wholesale of other office machinery and equipment,
4,G4669,G 46.69,Wholesale of other machinery and equipment,
4,G4671,G 46.71,"Wholesale of solid, liquid and gaseous fuels and related products",
4,G4672,G 46.72,Wholesale of metals and metal ores,
4,G4673,G 46.73,"Wholesale of wood, construction materials and sanitary equipment",
4,G4674,G 46.74,"Wholesale of hardware, plumbing and heating equipment and supplies",
4,G4675,G 46.75,Wholesale of chemical products,
4,G4676,G 46.76,Wholesale of other intermediate products,
4,G4677,G 46.77,Wholesale of waste and scrap,
4,G4690,G 46.90,Non-specialised wholesale trade,
4,G4711,G 47.11,"Retail sale in non-specialised stores with food, beverages or tobacco predominating",
4,G4719,G 47.19,Other retail sale in non-specialised stores,
4,G4721,G 47.21,Retail sale of fruit and vegetables in specialised stores,
4,G4722,G 47.22,Retail sale of meat and meat products in specialised stores,
4,G4723,G 47.23,"Retail sale of fish, crustaceans and molluscs in specialised stores",
4,G4724,G 47.24,"Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores",
4,G4725,G 47.25,Retail sale of beverages in specialised stores,
4,G4726,G 47.26,Retail sale of tobacco products in specialised stores,
4,G4729,G 47.29,Other retail sale of food in specialised stores,
4,G4730,G 47.30,Retail sale of automotive fuel in specialised stores,
4,G4741,G 47.41,"Retail sale of computers, peripheral units and software in specialised stores",
4,G4742,G 47.42,Retail sale of telecommunications equipment in specialised stores,
4,G4743,G 47.43,Retail sale of audio and video equipment in specialised stores,
4,G4751,G 47.51,Retail sale of textiles in specialised stores,
4,G4752,G 47.52,"Retail sale of hardware, paints and glass in specialised stores",
4,G4753,G 47.53,"Retail sale of carpets, rugs, wall and floor coverings in specialised stores",
4,G4754,G 47.54,Retail sale of electrical household appliances in specialised stores,
4,G4759,G 47.59,"Retail sale of furniture, lighting equipment and other household articles in specialised stores",
4,G4761,G 47.61,Retail sale of books in specialised stores,
4,G4762,G 47.62,Retail sale of newspapers and stationery in specialised stores,
4,G4763,G 47.63,Retail sale of music and video recordings in specialised stores,
4,G4764,G 47.64,Retail sale of sporting equipment in specialised stores,
4,G4765,G 47.65,Retail sale of games and toys in specialised stores,
4,G4771,G 47.71,Retail sale of clothing in specialised stores,
4,G4772,G 47.72,Retail sale of footwear and leather goods in specialised stores,
4,G4773,G 47.73,Dispensing chemist in specialised stores,
4,G4774,G 47.74,Retail sale of medical and orthopaedic goods in specialised stores,
4,G4775,G 47.75,Retail sale of cosmetic and toilet articles in specialised stores,
4,G4776,G 47.76,"Retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores",
4,G4777,G 47.77,Retail sale of watches and jewellery in specialised stores,
4,G4778,G 47.78,Other retail sale of new goods in specialised stores,
4,G4779,G 47.79,Retail sale of second-hand goods in stores,
4,G4781,G 47.81,"Retail sale via stalls and markets of food, beverages and tobacco products",
4,G4782,G 47.82,"Retail sale via stalls and markets of textiles, clothing and footwear",
4,G4789,G 47.89,Retail sale via stalls and markets of other goods,
4,G4791,G 47.91,Retail sale via mail order houses or via Internet,
4,G4799,G 47.99,"Other retail sale not in stores, stalls or markets",
4,H4910,H 49.10,"Passenger rail transport, interurban",
4,H4920,H 49.20,Freight rail transport,
4,H4931,H 49.31,Urban and suburban passenger land transport,
4,H4932,H 49.32,Taxi operation,
4,H4939,H 49.39,Other passenger land transport n.e.c.,
4,H4941,H 49.41,Freight transport by road,
4,H4942,H 49.42,Removal services,
4,H4950,H 49.50,Transport via pipeline,
4,H5010,H 50.10,Sea and coastal passenger water transport,
4,H5020,H 50.20,Sea and coastal freight water transport,
4,H5030,H 50.30,Inland passenger water transport,
4,H5040,H 50.40,Inland freight water transport,
4,H5110,H 51.10,Passenger air transport,
4,H5121,H 51.21,Freight air transport,
4,H5122,H 51.22,Space transport,
4,H5210,H 52.10,Warehousing and storage,
4,H5221,H 52.21,Service activities incidental to land transportation,
4,H5222,H 52.22,Service activities incidental to water transportation,
4,H5223,H 52.23,Service activities incidental to air transportation,
4,H5224,H 52.24,Cargo handling,
4,H5229,H 52.29,Other transportation support activities,
4,H5310,H 53.10,Postal activities under universal service obligation,
4,H5320,H 53.20,Other postal and courier activities,
4,I5510,I 55.10,Hotels and similar accommodation,
4,I5520,I 55.20,Holiday and other short-stay accommodation,
4,I5530,I 55.30,"Camping grounds, recreational vehicle parks and trailer parks",
4,I5590,I 55.90,Other accommodation,
4,I5610,I 56.10,Restaurants and mobile food service activities,
4,I5621,I 56.21,Event catering activities,
4,I5629,I 56.29,Other food service activities,
4,I5630,I 56.30,Beverage serving activities,
4,J5811,J 58.11,Book publishing,
4,J5812,J 58.12,Publishing of directories and mailing lists,
4,J5813,J 58.13,Publishing of newspapers,
4,J5814,J 58.14,Publishing of journals and periodicals,
4,J5819,J 58.19,Other publishing activities,
4,J5821,J 58.21,Publishing of computer games,
4,J5829,J 58.29,Other software publishing,
4,J5911,J 59.11,"Motion picture, video and television programme production activities",
4,J5912,J 59.12,"Motion picture, video and television programme post-production activities",
4,J5913,J 59.13,"Motion picture, video and television programme distribution activities",
4,J5914,J 59.14,Motion picture projection activities,
4,J5920,J 59.20,Sound recording and music publishing activities,
4,J6010,J 60.10,Radio broadcasting,
4,J6020,J 60.20,Television programming and broadcasting activities,
4,J6110,J 61.10,Wired telecommunications activities,
4,J6120,J 61.20,Wireless telecommunications activities,
4,J6130,J 61.30,Satellite telecommunications activities,
4,J6190,J 61.90,Other telecommunications activities,
4,J6201,J 62.01,Computer programming activities,
4,J6202,J 62.02,Computer consultancy activities,
4,J6203,J 62.03,Computer facilities management activities,
4,J6209,J 62.09,Other information technology and computer service activities,
4,J6311,J 63.11,"Data processing, hosting and related activities",
4,J6312,J 63.12,Web portals,
4,J6391,J 63.91,News agency activities,
4,J6399,J 63.99,Other information service activities n.e.c.,
4,K6411,K 64.11,Central banking,
4,K6419,K 64.19,Other monetary intermediation,
4,K6420,K 64.20,Activities of holding companies,
4,K6430,K 64.30,"Trusts, funds and similar financial entities",
4,K6491,K 64.91,Financial leasing,
4,K6492,K 64.92,Other credit granting,
4,K6499,K 64.99,"Other financial service activities, except insurance and pension funding n.e.c.",
4,K6511,K 65.11,Life insurance,
4,K6512,K 65.12,Non-life insurance,
4,K6520,K 65.20,Reinsurance,
4,K6530,K 65.30,Pension funding,
4,K6611,K 66.11,Administration of financial markets,
4,K6612,K 66.12,Security and commodity contracts brokerage,
4,K6619,K 66.19,"Other activities auxiliary to financial services, except insurance and pension funding",
4,K6621,K 66.21,Risk and damage evaluation,
4,K6622,K 66.22,Activities of insurance agents and brokers,
4,K6629,K 66.29,Other activities auxiliary to insurance and pension funding,
4,K6630,K 66.30,Fund management activities,
4,L6810,L 68.10,Buying and selling of own real estate,
4,L6820,L 68.20,Renting and operating of own or leased real estate,
4,L6831,L 68.31,Real estate agencies,
4,L6832,L 68.32,Management of real estate on a fee or contract basis,
4,M6910,M 69.10,Legal activities,
4,M6920,M 69.20,"Accounting, bookkeeping and auditing activities, tax consultancy",
